grouping,group,n,observed_anemia_rate,mean_predicted_probability,accuracy_at_0_5,true_positive_rate_at_0_5
child_sex_code,1,7295,0.4614119259766964,0.5174399994680997,0.6505825908156272,0.6999405822935235
child_sex_code,2,7090,0.4180535966149506,0.4618529633162792,0.6588152327221438,0.5877192982456141
residence_code,1,10038,0.40555887627017334,0.45541399446204744,0.6633791591950587,0.58069270449521
residence_code,2,4347,0.5196687370600414,0.5700061259770357,0.6344605475040258,0.7675962815405046
