survey_year,sample_size,weighted_anemia_prevalence,taylor_standard_error,taylor_ci_95_lower,taylor_ci_95_upper,design_degrees_of_freedom,design_strata,design_psus,ci_method
2019,10320,0.39832421434897963,0.006215063299403401,0.386137765799165,0.4105106628987943,2865,245,3113,Taylor linearization
2020,6051,0.38251559308307576,0.00913592644420013,0.3645975310572147,0.4004336551089368,1811,229,2056,Taylor linearization
2021,10902,0.3844038679640477,0.005918735330584238,0.37279850953129584,0.39600922639679953,2896,221,3134,Taylor linearization
2022,10557,0.41993916192512465,0.006203172016556657,0.407776086494107,0.4321022373561423,2897,219,3137,Taylor linearization
2023,9951,0.42782680156673564,0.006601995624058986,0.4148816514269284,0.4407719517065429,2861,220,3099,Taylor linearization
2024,9758,0.43507165764594935,0.006386474118273675,0.4225490482928723,0.4475942669990264,2833,222,3073,Taylor linearization
