survey_year,sample_size,weighted_anemia_prevalence,bootstrap_ci_95_lower,bootstrap_ci_95_upper,bootstrap_replicates,ci_method
2019,10320,0.39832421434897963,0.3849026232085637,0.4094288846403385,300,Stratified cluster bootstrap
2020,6051,0.38251559308307576,0.3654452875588916,0.40059595777590573,300,Stratified cluster bootstrap
2021,10902,0.3844038679640477,0.37389831770385273,0.3955839951814523,300,Stratified cluster bootstrap
2022,10557,0.41993916192512465,0.409412700348536,0.43103919269901403,300,Stratified cluster bootstrap
2023,9951,0.42782680156673564,0.414695974665679,0.4406467454654688,300,Stratified cluster bootstrap
2024,9758,0.43507165764594935,0.42318039699934057,0.44549792696600177,300,Stratified cluster bootstrap
