survey_year,sample_size,weighted_population,weighted_anemia_prevalence
2019,10320,4689.603945,0.39832421434897963
2020,6051,3325.842282,0.38251559308307576
2021,10902,4597.812229,0.3844038679640477
2022,10557,4475.462456,0.41993916192512465
2023,9951,4057.002819,0.42782680156673564
2024,9758,3757.501819,0.43507165764594935
