model,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_std,f1_min,f1_max,recall_mean,recall_std,recall_min,recall_max
extra_trees,0.7049521770009306,0.0027112241830894055,0.7007531406807268,0.7078121797662791,0.6401825781200718,0.0022497522767778166,0.6366426258566505,0.6420947926140269,0.6538060479666319,0.0018908633252510594,0.651372957942301,0.6557177615571776,0.6222502443359479,0.0022078423624179366,0.6192516423878892,0.6252599735299679,0.6479857819905213,0.005012453637585565,0.6421800947867299,0.6534360189573459
logistic_regression,0.7076594543290942,0.0037590527487623144,0.7020815743461961,0.711708274986443,0.6377340577207555,0.002093918184939259,0.6349237185238119,0.6408254103498621,0.6562565172054222,0.004073655987518809,0.6508515815085159,0.6613660062565172,0.6248651011399967,0.004262696760494544,0.6205137891953154,0.6300199373397892,0.6505924170616113,0.0048281889563985304,0.6441548183254344,0.655608214849921
random_forest,0.7050929940339079,0.0035348919654559423,0.7000829481948256,0.7084724741189864,0.6401449708125015,0.003337257005718354,0.6363740512964272,0.6452367079773015,0.653979840111227,0.0020406705884284957,0.6506777893639207,0.6559784497740702,0.6193130458440301,0.0007313959350904719,0.6186513629842181,0.6204582494487585,0.639612954186414,0.002696781256664232,0.6376382306477093,0.6443522906793049
