term,coefficient_log_odds,odds_ratio,ci_95_lower,ci_95_upper,p_value
C(child_sex_code)[T.2],-0.23202149124754365,0.7929290820883781,0.7650542940737867,0.8218194892725856,5.3904029051603985e-37
C(mother_education_code)[T.1.0],0.09621569236950572,1.1009965149320038,0.9230934532794685,1.313185920218442,0.2846142905373983
C(mother_education_code)[T.2.0],-0.032808358566112465,0.9677239978341912,0.8128464700701329,1.1521114631935214,0.7123505004478726
C(mother_education_code)[T.3.0],-0.33025355305319104,0.7187414712318481,0.601611449094727,0.8586759830549399,0.00027403566776248035
C(wealth_quintile)[T.2],-0.24667400365022904,0.7813953840579607,0.73477725603603,0.8309712109504217,3.854765766723767e-15
C(wealth_quintile)[T.3],-0.4291799051877715,0.651042792668753,0.6056988373517807,0.6997812968225319,2.2448637605251493e-31
C(wealth_quintile)[T.4],-0.5861992590530987,0.5564381480247903,0.5142006161758258,0.6021451605405812,5.508658190992325e-48
C(wealth_quintile)[T.5],-0.7785305063958079,0.4590801311930831,0.4200634733837152,0.501720764146852,3.7620366432132096e-66
C(residence_code)[T.2],-0.048899745592393615,0.9522765948389174,0.8977483379279229,1.0101168387245847,0.1040816624830882
C(department_code)[T.02],0.24529761485127355,1.278001608870012,1.0869651427702653,1.502613145543657,0.0029835399830515767
C(department_code)[T.03],0.6029477153695626,1.8274978119863023,1.5053353618361676,2.218607452854218,1.1035766374646103e-09
C(department_code)[T.04],0.3613250012235259,1.435229836541037,1.2198435501236338,1.688646616600004,1.328780551400143e-05
C(department_code)[T.05],0.47731834225220293,1.6117464493889502,1.3428441712958612,1.9344959546654241,2.9694659412840474e-07
C(department_code)[T.06],-0.2604660285900893,0.770692337436655,0.660682580462493,0.8990197358734425,0.0009176694395532937
C(department_code)[T.07],0.11775034182490685,1.124963220040831,0.9476049155440295,1.3355167598704094,0.17857343785549318
C(department_code)[T.08],0.6812352786144261,1.9763175277839562,1.682084226694296,2.322018665083136,1.2033970800691098e-16
C(department_code)[T.09],0.6968303999050793,2.0073800214660067,1.6381381848369119,2.4598502054831464,1.8303163139060617e-11
C(department_code)[T.10],0.1997622159258746,1.221112362563279,1.0312342279031326,1.4459522014090267,0.020523017341853706
C(department_code)[T.11],0.25745813951211094,1.2936376575433828,1.0926857851344596,1.5315458586371191,0.0027985229433613685
C(department_code)[T.12],0.568418512556243,1.7654727694380274,1.510810940121745,2.0630603187027567,8.552753484191765e-13
C(department_code)[T.13],0.023167922966676517,1.0234383839281445,0.8802311195621643,1.189944438931507,0.7632326498505861
C(department_code)[T.14],0.06710066427969204,1.0694031234516148,0.9129378783043826,1.252684402329919,0.405757360372351
C(department_code)[T.15],0.09456095943225445,1.0991761662457755,0.9540788522898699,1.2663400321084644,0.1904839774513386
C(department_code)[T.16],0.6315624061131451,1.8805464624351633,1.612078728738724,2.193723503903744,9.286391363128276e-16
C(department_code)[T.17],0.8904687106919843,2.436271290122065,1.8635811935688558,3.184952616798195,7.36527003325421e-11
C(department_code)[T.18],0.12473582068157238,1.132849138218955,0.8423160535572811,1.5235933881867485,0.4093702784023535
C(department_code)[T.19],0.7110671415299564,2.0361629737480147,1.6184923091011143,2.5616183854249885,1.2734475871323102e-09
C(department_code)[T.20],0.1493472346835908,1.1610760851076343,1.0014143832771394,1.3461936416343512,0.04785094229590313
C(department_code)[T.21],1.5234281763228008,4.587926487320391,3.8629613376391543,5.448946446334391,1.649404637995156e-67
C(department_code)[T.22],0.2147104743837007,1.2395029771469648,1.0517473661136267,1.4607763041359554,0.010407680655671716
C(department_code)[T.23],-0.08568370638412923,0.9178845063211064,0.7282383463377228,1.1569178843455517,0.46807923138579943
C(department_code)[T.24],0.3678466525765657,1.4446204931571072,1.1564283955059642,1.8046325888914236,0.0011946829235362872
C(department_code)[T.25],0.8877724623909665,2.4297113453892742,2.042348351131714,2.890543730525739,1.2591089983908662e-23
C(survey_year)[T.2020],0.03907448548496262,1.0398479343433227,0.9750265863792769,1.1089787105943234,0.23410621849999114
C(survey_year)[T.2021],-0.0991678295075866,0.9055907104260585,0.8538049911336928,0.9605173819856003,0.0009641547703002679
C(survey_year)[T.2022],0.05463981857551217,1.0561601368964988,0.995684018685858,1.120309469505674,0.06934076919723983
C(survey_year)[T.2023],0.11676328709423137,1.1238533676053108,1.058072573099004,1.19372378038157,0.00014805012454529616
C(survey_year)[T.2024],0.14988111388740888,1.1616961249819935,1.0922893195268812,1.235513213095157,1.85653767609928e-06
age_months,-0.07065846736162172,0.9317800710963178,0.9297852138674042,0.9337792082979652,0.0
